ABC,Water,Gluten%,SV ml,Moisture,Temperature
5.4,15,10.97,24,13.29,25
5.4,15,10.97,24,13.29,29
5.4,15,10.97,24,13.29,29
5.4,15,10.97,24,13.29,29
5.4,15,10.97,24,13.29,27.7
5.4,15,10.97,24,13.29,27.7
5.4,15,10.97,24,13.29,26.7
5.4,15,10.97,24,13.29,26.7
5.4,15,10.97,24,13.29,25.9
5.4,15,10.97,24,13.29,25.9
5.4,15,10.97,24,13.29,25.7
5.4,15,10.97,24,13.29,25.7
5.4,15,10.97,24,13.29,25.6
5.5,16,11.48,27,12.98,28.8
5.5,16,11.48,27,12.98,28.8
5.5,16,11.48,27,12.98,30.8
5.5,16,11.48,27,12.98,30.8
5.5,16,11.48,27,12.98,29
5.5,16,11.48,27,12.98,29
5.5,16,11.48,27,12.98,33
5.5,16,11.48,27,12.98,33
5.5,16,11.48,27,12.98,33
5.5,16,11.48,27,12.98,33
5.5,16,11.48,27,12.98,33
5.5,16,11.48,27,12.98,34
5.5,16,11.48,27,12.98,34
5.5,16,11.48,27,12.98,35
5.5,16,11.48,27,12.98,35
5.5,16,11.48,27,12.98,35
5.5,16,11.48,27,12.98,35
5.5,16,11.48,27,12.98,35
5.5,16,11.48,27,12.98,35
5.5,16,11.48,27,12.98,32
5.5,16,11.48,27,12.98,32
5.5,16,11.48,27,12.98,32
6.2,18,11.48,27,12.98,32
6.2,18,11.48,27,12.98,29
6.2,18,11.48,27,12.98,29
6.2,18,11.48,27,12.98,29
6.2,18,11.48,27,12.98,27
6.2,18,11.48,27,12.98,27
6.2,18,11.48,27,12.98,26
6.2,18,11.48,27,12.98,26
6.2,18,11.48,27,12.98,26
6.2,18,11.48,27,12.98,24
6.2,18,11.48,27,12.98,24
6.2,18,11.48,27,12.98,24
6.2,18,11.48,27,12.98,25.9
6.2,18,11.48,27,12.98,25.9
6.2,18,11.48,27,12.98,25.4
6.2,18,11.48,27,12.98,25.4
6.2,18,11.48,27,12.98,25.2
6.2,18,11.48,27,12.98,25.2
6.2,18,11.48,27,12.98,25
6.2,18,11.48,27,12.98,25
6.2,18,11.48,27,12.98,24.8
6.2,18,11.48,27,12.98,24.8
6,18,11.48,27,12.98,26
6,18,11.48,27,12.98,29
6,18,11.48,27,12.98,29
6,18,11.48,27,12.98,29
6,18,11.48,27,12.98,29
6,18,11.48,27,12.98,30
6,18,11.48,27,12.98,30
6,18,11.48,27,12.98,32
6,18,11.48,27,12.98,32
6,18,11.48,27,12.98,32
6,18,11.48,27,12.98,32
6,18,11.48,27,12.98,32
6,18,11.48,27,12.98,34
6.1,18,11.48,27,12.98,34
6.1,18,11.48,27,12.98,33
6.1,18,11.48,27,12.98,33
6.1,18,11.48,27,12.98,34
6.1,18,11.48,27,12.98,34
6.1,18,11.48,27,12.98,34
5.9,18,11.48,27,12.98,34
5.9,18,11.48,27,12.98,32
5.9,18,11.48,27,12.98,32
5.9,18,11.48,27,12.98,31
5.9,18,11.48,27,12.98,31
5.9,18,11.48,27,12.98,31
5.9,18,11.48,27,12.98,25
5.9,18,11.48,27,12.98,24
5.9,18,11.48,27,12.98,21
5.9,18,11.48,27,12.98,21
5.9,18,11.48,27,12.98,21
5.9,18,11.48,27,12.98,21
5.9,18,11.48,27,12.98,25
6.2,18,11.48,27,12.98,25
6.2,18,11.48,27,12.98,25
6.2,18,11.48,27,12.98,25
6.2,18,11.48,27,12.98,25
6.2,18,11.48,27,12.98,25
5.9,18,11.48,27,12.98,24
5.9,18,11.48,27,12.98,24
5.9,18,11.48,27,12.98,24
5.9,18,11.48,27,12.98,24
5.9,18,11.48,27,12.98,24
6.5,18,11.48,27,12.98,22
6.5,18,11.48,27,12.98,22
6.3,18,11.48,27,12.98,26
6.3,18,11.48,27,12.98,26
6.3,18,11.48,27,12.98,26
6.3,18,11.48,27,12.98,28
6.1,18,11.48,27,12.98,28
6.1,18,11.48,27,12.98,28
6.1,18,11.48,27,12.98,30
6.1,18,11.48,27,12.98,30
6.1,18,11.48,27,12.98,30
6.1,18,11.48,27,12.98,30
6.1,18,11.48,27,12.98,30
6.1,18,11.48,27,12.98,30
6.1,18,11.48,27,12.98,31
6.1,18,11.48,27,12.98,31
6.1,18,11.48,27,12.98,32
6.1,18,11.48,27,12.98,32
6.1,18,11.48,27,12.98,32
6.1,18,11.48,27,12.98,32
6.1,18,11.48,27,12.98,32
6.1,18,11.48,27,12.98,31
6.1,18,11.48,27,12.98,31
6.1,18,11.48,27,12.98,30
6.1,18,11.48,27,12.98,30
5.9,18,11.48,27,12.98,27
5.9,18,11.48,27,12.98,27
5.9,18,11.48,27,12.98,26
5.9,18,11.48,27,12.98,26
5.9,18,11.48,27,12.98,25
5.9,18,11.48,27,12.98,25
5.9,18,11.48,27,12.98,21
5.9,18,11.48,27,12.98,21
5.9,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.2,18,11.48,27,12.98,21
6.7,22,11.48,27,12.98,26
6.7,22,11.48,27,12.98,26
6.7,22,11.48,27,12.98,27
6.7,22,11.48,27,12.98,27
6.7,22,11.48,27,12.98,30
6.7,22,11.48,27,12.98,30
6.7,22,11.48,27,12.98,30
6.7,22,11.48,27,12.98,31
6.5,22,11.48,27,12.98,31
6.5,22,11.48,27,12.98,30
6.5,22,11.48,27,12.98,30
6.5,22,11.48,27,12.98,30
6.5,22,11.48,27,12.98,30
6.5,22,11.48,27,12.98,31
6.2,22,11.48,27,12.98,31
6.2,22,11.48,27,12.98,31
6,22,11.48,27,12.98,31
6,22,11.48,27,12.98,31
5.8,22,11.48,27,12.98,32
5.8,22,11.48,27,12.98,30
6.2,22,11.48,27,12.98,30
6.5,22,11.48,27,12.98,29
6.5,22,11.48,27,12.98,29
6.5,22,11.48,27,12.98,28
6.5,22,11.48,27,12.98,28
6.4,16,11.48,27,12.98,28
6.4,16,11.48,27,12.98,28
6.4,16,11.48,27,12.98,28
6.4,16,11.48,27,12.98,28
6.4,16,11.48,27,12.98,28
6.4,16,11.48,27,12.98,28
6.4,16,11.48,27,12.98,28
6.4,16,11.48,27,12.98,26
6.4,16,11.48,27,12.98,25
6.4,16,11.48,27,12.98,25
6.4,16,11.48,27,12.98,25
6.4,16,11.48,27,12.98,25
6.4,16,11.48,27,12.98,25
6.4,16,11.48,27,12.98,24
6.4,16,11.48,27,12.98,24
6.4,16,11.48,27,12.98,23
6.4,16,11.48,27,12.98,23
6.4,16,11.48,27,12.98,23
7.5,20,11.22,28,12.81,27
7.5,20,11.22,28,12.81,29
7.5,20,11.22,28,12.81,29
7.5,20,11.22,28,12.81,29
7.5,20,11.22,28,12.81,29
7.5,20,11.22,28,12.81,28
7.5,20,11.22,28,12.81,29
7.5,20,11.22,28,12.81,29
7.5,20,11.22,28,12.81,29
7.5,20,11.22,28,12.81,31
7.5,20,11.22,28,12.81,31
7.5,20,11.22,28,12.81,31
7.5,20,11.22,28,12.81,30
7.5,20,11.22,28,12.81,35
7.5,20,11.22,28,12.81,35
7.5,20,11.22,28,12.81,32
7.5,20,11.22,28,12.81,32
7.5,20,11.22,28,12.81,31
7.5,20,11.22,28,12.81,31
7.5,20,11.22,28,12.81,31
7.5,20,11.22,28,12.81,31
7.5,20,11.22,28,12.81,31.1
6.5,16,11.22,28,12.81,29
6.5,16,11.22,28,12.81,29
6.5,16,11.22,28,12.81,29
6.5,16,11.22,28,12.81,29
6.5,16,11.22,28,12.81,29
6.5,16,11.22,28,12.81,26
6.5,16,11.22,28,12.81,26
6.8,16,11.22,28,12.81,25
6.8,16,11.22,28,12.81,25
6.8,16,11.22,28,12.81,25
6.8,16,11.22,28,12.81,25
6.8,16,11.22,28,12.81,24
6.8,16,11.22,28,12.81,24
6.8,16,11.22,28,12.81,24
6.8,16,11.22,28,12.81,24
6.8,16,11.22,28,12.81,24
6.8,16,11.22,28,12.81,25
6.8,15,11.22,28,12.81,20
6.8,15,11.22,28,12.81,21
6.8,15,11.22,28,12.81,21
6.8,15,11.22,28,12.81,22
6.8,15,11.22,28,12.81,25
6.8,15,11.22,28,12.81,25
6.8,15,11.22,28,12.81,25
6.8,15,11.22,28,12.81,27
6.8,15,11.22,28,12.81,27
6.8,15,11.22,28,12.81,27
6.8,15,11.22,28,12.81,26
6.8,15,11.22,28,12.81,26
6.8,15,11.22,28,12.81,30
6.8,15,11.22,28,12.81,30
6.8,15,11.22,28,12.81,30
6.8,15,11.22,28,12.81,30
6.8,15,11.22,28,12.81,30
6.8,15,11.22,28,12.81,31
6.8,15,11.22,28,12.81,31
6.8,15,11.22,28,12.81,31
6.8,15,11.22,28,12.81,29
6.8,15,11.22,28,12.81,28
6.8,15,11.22,28,12.81,28
5.7,16,11.22,28,12.81,27
5.7,16,11.22,28,12.81,27
5.7,16,11.22,28,12.81,26
5.7,16,11.22,28,12.81,26
5.7,16,11.22,28,12.81,26
5.7,16,11.22,28,12.81,25
5.7,16,11.22,28,12.81,25
5.7,16,11.22,28,12.81,25
5.7,16,11.22,28,12.81,25
5.7,16,11.22,28,12.81,25
5.7,16,11.22,28,12.81,26
5.7,16,11.22,28,12.81,26
5.7,16,11.22,28,12.81,25
5.7,16,11.22,28,12.81,25
5.7,16,11.22,28,12.81,25
